,X_WGS84,Y_WGS84,geutri
916,-143.32,61.68,0
917,-143.28,64.84,0
918,-143.25,68.69,0
919,-143.17,69.45,0
920,-142.48,65.49,0
921,-142.47,61.5,0
922,-142.41,67.81,0
923,-142.24,69.04,0
924,-142.16,64.41,0
925,-142.14,62.82,0
926,-142.03,63.66,0
927,-141.99,62.02,0
928,-141.95,60.69,0
929,-141.8,65.76,0
930,-141.57,66.97,0
931,-141.42,68,0
932,-141.34,69.11,0
933,-141.3,64.73,0
934,-141,63.2,0
935,-140.62,66.52,0
936,-140.43,67.73,0
937,-140.35,62.25,0
938,-140.31,60.96,0
939,-140.2,64.57,0
940,-140.16,65.37,0
941,-140.15646,69.160935,0
942,-139.78,66.75,0
943,-139.74,62.4,0
944,-139.44,64.1,0
945,-139.415849,61.368095,0
946,-139.36,67.89,0
947,-139.29,68.84,0
948,-138.79,66.55,0
949,-138.75,65.11,0
950,-138.56,61.99,0
951,-138.52,68.23,0
952,-138.49,63.47,0
953,-138.442567,61.173628,0
